Name,About
Anne Carr,"Recognized as one of Los Angeles’ leading designers. Anne has been applauded for her exceptional quality, character and aesthetics. 
Featured in: MyDomaine, Wall Street Journal, Chairish, Elle Decor & more

From architectural restoration and remodeling to decor and finishes, Anne has helped clients across the East and West Coasts bring their design dreams to life.

Anne is best known for her keen eye for good craftsmanship, playful juxtapositions, natural materials, and masterful lighting come together to create spaces of timeless harmony.

How I can help: 
- floorplans
-layouts 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Jasmine Crockett,"Founder and principal designer of Joy Meets Home and a lifestyle creator.

Featured in HGTV Magazine, Sweet July, MyDomaine, The Spruce, & more.

As a mom of two and wife, Jasmine’s entire design style falls within making sure all spaces are functional, approachable, and of course leaves you feeling full of joy in your new space. 

Things I can advise on:
- Floor plan layout
- Styling ideas (shelves, walls, sofas, beds)
- Store & brands to consider 
- Paint color suggestions 
- Career advice for aspiring designers and content creators

I love helping others and can’t wait to get started on your project! 😊"
Brittany Jepsen,"Designer, Crafter, Creative Director, Founder of The House that Lars Built (215k followers on IG)

Features: The Today Show, Domino, Vogue, NY Times, CNN, Martha Stewart & more

Things I can advise on:
- creative direction
- content strategy 
- blogging
- partnerships
- how to license your products
- how to grow an audience
- community building
- product design
- branding
- book writing & publishing
- frameworks for creativity
- how to use color
- how to find your personal decorating style
- interior decorating
- & more

Looking forward to helping you on your design project."
Tammy Price,"Renowned Interior + Product Designer based in LA

Features: Vogue, Arch Digest, House Beautiful, Domino, People, Real Simple, & more

Best known as one of California’s notable interior designers, she has also built a reputation as an innovator in the world of product design with 30+ years in the design industry 

Product lines at Restoration Hardware, 1st Dibs, One Kings Lane, ABC Carpet & Home

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designer.
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Fawn Galli,"Renowned Interior Designer based in NYC

Fawn’s work has been featured in Elle Décor, Architectural Digest, House Beautiful, Domino, The New York Times, and The Wall Street Journal, among other leading outlets.

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project 😊"
James Huniford,"Renowned Interior Designer 

Features: Arch Digest, Forbes, Elle Decor, Luxe & more

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project!"
Michael Aiduss,"Renowned Interior Designer  based in NYC.

Features: Arch Digest, ELLE, House Beautiful, Luxe, Veranda, & many more

Michael Aiduss's love of form is exhibited in both the architecture of his spaces as well as in the furniture and lighting he designs. 

With his encyclopedic knowledge of icons from the past, he seamlessly threads historical influence into each project + supports the design with his innovative use of materials and finishes

Things I can advise on:
- floor plan and furniture layout
- stores and brands to consider
- styling your place
-paint/wallpaper selections 
- fixtures, finishes and trims
- career advice for aspiring designers


Looking forward to helping you on your design project"
Estelle Bailey-Babenzien,"Renowned Interior Designer based in New York 

Best known for creating spaces that emphasize human connection, what conversations and interactions can be had with the design to support it.

My projects range from converting a hundred-year-old noodle shop into the first Osaka, Japan storefront for Noah, the menswear label I co-founded with my husband, Brendon Babenzien, to the renovation, staging of actor Adrian Grenier’s 19th-century home, and most recently designing the new JCrew mens concept shop at 316 Bowery.

I have been featured in Vogue, AD, Domino, Business of Home, and more

Let me advise you on interior design for your home, retail, and conceptual projects. 

I can help with the following: 
1. Creative and Brand Direction
2. Retail Design 
     - including: floor plan layout, brands to consider, fixtures, etc
3. Styling
      - including: furniture, paint/wall treatments and drapery/window treatments finishes and trims
4. Product Branding
5. Career advice for aspiring designers
- and more!

Looking forward to helping you on your next design project 😊"
Kati Curtis,"“Queen of color and pattern”

Globally influenced interiors mixing classic elements with a contemporary edge. 

Featured in: Elle Decor, Architectural Digest, Dwell, The NY Times, House Beautiful, WSJ & more

Things I can advise on:
- paint color selection
- art advisory 
- pattern mixing 
- fabric selections 
- space planning
- styling
- sustainable furniture and design
- non-toxic living 
- drapery/window treatments
- business coaching and career advice for aspiring designers
- cabinetry and built-ins
- and more!

Looking forward to helping you on your design project 😊"
Josh Young,"Josh is artist, designer, & tastemaker based in Washington, D.C. 

A graduate of Italy's renowned Università Cattolica del Sacro Cuore, Josh's six years spent in Milan heavily influenced and crafted his overall artistic style.

Since returning to the U.S. he has collaborated with Nate Berkus Associates, Christian Siriano Interiors, Marie Flanigan, and large-scale commercial projects like the newly-built Draper Hotel in NYC & the Bulgari Hotel in London. 

He is best known for utilizing Old World elements married with bold, modern-day techniques to evoke nostalgic, playful & sophisticated spaces with nods to the past

Featured in Architectural Digest, Elle Decor, Vogue Italia, GQ Italia, The Wall Street Journal, Domino Magazine, MyDomaine, O, The Oprah Magazine, House Beautiful, and The Maryn.

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project!"
Ryan White,"Ryan White is the founder and president of Ryan White Designs. RWD is a design firm that embodies understated, comfortable and sophisticated interiors.

Since founding RWD in 2012 White has been featured in top publications such as AD, Elle Decor, House Beautiful, Traditional Home, Hollywood Reporter, Departures, Luxe Magazine, and Saatchi Online.

Things Ryan can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

Ryan is also the Co-founder and Creative Director of Vast Studio. A line of stunning Metal and Concrete Bathtubs and Sinks. Vast Studios clients include celebrities such as Miley Cyrus, Nick Jonas, Paris Hilton and more. Vast Studio also sells to many high-end boutique hotels, design firms and architects."
Ryan Gordon Jackson,"Renowned Interior Designer based in Los Angeles

Allow me to help curate a beautiful space that responds to your lifestyle, both in aesthetic + function 

Features: Elle Décor, Architectural Digest, Galerie, LUXE, Elle Decoration China, & more

Areas of expertise
- floor plan layouts + space planning 
- interior architecture 
- stores and brands to consider
- styling + decoration 
- fixtures + finishes 
- career advice for aspiring designers
- the business of interiors 
- product branding + design 
- creative direction 
- what to expect when building a home 
- overall project planning 

I hope to share my passion for design + experience with you . RGJ"
Michelle Sauter,"As Seen: HGTV, Charleston Magazine, Florida Design & Coastal Living

We pride ourselves on transforming your dreams into a home you can enjoy for years to come.

An interior designer with an extensive background as a professional artist, Michelle Woolley Sauter is also a color expert who specializes in dynamic spaces where modern and traditional play off of each other to create unique design solutions that feel one of a kind. She loves to coach young and aspiring designers on their way to a career in design.

By combining layers of both old and new, her spaces come together organically in a stylish and exciting, yet livable way. Because, at the end of the day, people want to live in something beautiful, and it has to belong to the client, first and foremost.

Michelle and her team specialize in one-of-a-kind home furnishings, accessories, antiques, lighting, fabrics, flooring, tiles, wall coverings, original framed art pieces and more

Michelle comes from a long lineage of artists in her family. Her father was an accomplished water-colorist, her grandmother was a successful interior designer, and her French Great-Grandfather was also an extremely talented painter.

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding
- creative direction 
- and More!


Set up a 1:1 call today! She is looking forward to chatting with you on your design project 😊"
Sasha Bikoff,"Award Winning Interior Designer based in NYC 

Feat: Elle Decor A-List, Luxe Gold List, Arch Digest, VOGUE, & more

Known for her flawless execution of bold and colorful maximalist designs sculpted by her vast worldly exploits and experiences. 

Named the “interior designer for the young & wealthy” by NY Times & the “go-to decorator for Manhattan’s well-heeled millennial set” by NY Post

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Katie Leede,"Founder + Interior Designer based in Soho

Specializing in residential and boutique commercial projects

Features: Elle Decor, House Beautiful, Veranda, Traditional Home, & more

Traditional Home’s “Ten Young Designers to Watch” (2010) & House Beautiful’s “Ten More Designers who create a Global, Sophisticated Look” (2011)

Katie has also appeared as a designer on the TV program “Open House New York.”

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
-product branding
-creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Lauren Martin-Moro,"Award Winning Design/Build expert based in Southern California

Features: HGTV, Domino, The Zoe Report, Apartment Therapy, Lonny, Living ETC . . 

Best known for her character filled custom home builds, large scale renovations & furnishings for a warm, collected, & modern home. 

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project!"
Sterling McDavid,"Interior Designer based in NYC & Miami

Specializing in luxury residential projects across the US

Featured in: WSJ, Vogue, Hamptons Mag, Luxe, Forbes, & Modern Luxury

My aesthetic vision is inspired by extensive travels, the arts and a ever evolving curious eye bridging the gap between refined and timeless. 

Together we’ll balance elements of elevated design to meet your elevated lifestyle. 

I am also the founder of the home fragrance brand Starling, which helps provide solar energy to underserved communities through UNICEF. 

Things I can advise on:
- floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers 
- cabinetry and built-ins
- product branding 
- creative direction 
- hiring contractors 
- home buying 
- and more!

Looking forward to helping you create an inviting space and sharing interior principles 😊"
Joe Lucas,"Renowned Interior Designer and Principal of LUCAS STUDIO, INC and owner of the multi line showroom HARBINGER in Los Angeles & New York City. 

Known for a classic East Coast traditional style meets West Coast cool, Lucas masterfully mixes pattern and color to create a warm, layered and inviting interiors with a blend of antiques, vintage and contemporary furniture. 

The Firm’s work has been featured in publications Internationally and across America’s most respected shelter magazines.  House Beautiful magazine recognized the firm as one of their American Design Trailblazers. 

The firm has completed residential projects throughout Los Angeles as well as Manhattan, San Francisco, Montana, Florida, Chicago, Memphis, Philadelphia and New Jersey. 

Things I can advise on:
- floor plan layout 
- textiles and rugs
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and window treatments
- lighting 
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Follow my other accounts on Instagram:
@LucasStudioInc
@HarbingerLA
@HarbingerNYC 

www.LucasStudioInc.com

Looking forward to helping you on your design project 😊"
Jonathan Savage,"Renowned Interior Designer based in Nashville + Palm Beach

Featured in: Architectural Digest, Veranda, Elle Decor, and House Beautiful

Things I can advise on:
- advice on floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Adam Hunter,"Interior & Product Designer

Clients include Neil Patrick Harris, Sutton Foster, Travis Barker, and Christina Hendricks 

Featured in NY Times, AD, Vogue, TIME, Elle Decor, & LA Times

Formerly on Broadway

Things I can advise on: 
✔️Furniture and home decor selection and placement
✔️ Floor plan layout
✔️ Stores and brands to consider
✔️ Styling (surfaces, sofas, beds, walls etc.)
✔️ Paint/wall treatments and drapery/window treatments
✔️ Cabinetry and built-ins
✔️ Fixtures, finishes and trims
✔️ Construction and remodel ideas
✔️ Exterior design
✔️ Career advice for aspiring designers
✔️ Guidance / second opinion for professional designers
✔️ & more

I am very passionate about sharing all of my learnings with others on similar journeys. Excited to connect!"
Jamie Gernert,"Interior Designer + Social Media Consultant

I love helping people build their dream space, whether it be a curated and branded Instagram account or designing a swoon-worthy kitchen remodel.

Jamie founded wyc designs to blend her background in Ad/PR, social media and her love for design. 

She is best known for her warm, organic and simple design aesthetic. Her recently finished home has been shared among major interior design blogs and Instagram accounts.

For interior design, I can advise on:
- full interior design 
- builder bid process 
- space planning 
- cabinet layout and review 
- interior furnishings 

For social media and/branding consulting, I can help with:
- content strategy 
- competitor review and analysis 
- branding guidelines 

I love helping others and can’t wait to help you along your business and design journey!"
Elizabeth Bolognino,"Renowned Interior Designer based in NYC, CT, FL

Featured in: Wall Street Journal, The New York Times, VOGUE, Elle Decor, Dwell, Houzz & more

Elizabeth is known for a warm, yet refined sensibility in her signature ""layered minimalism"" style. Her interiors are a mix of contemporary and antique with a focus on a timeless design.

Things I can advise on:
- advice on floor plan layout 
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- career advice for aspiring designers
- cabinetry and built-ins
- product branding 
- creative direction 
- and more!

Looking forward to helping you on your design project 😊"
Sashya Thind,"Award-Winning Interior Designer based in Boston

Features: Boston Home Magazine, Arch Digest, Modern Luxury, Casa Vogue, Archello & Best of Boston. Specializes in Interior Architecture and Design. 

Things I can advise on:
- floor plan layout 
- renovation advice 
- budget discussion
- stores and brands to consider
- styling (surfaces, sofas, beds, walls etc.)
- paint/wall treatments and drapery/window treatments
- fixtures, finishes and trims
- cabinetry and built-ins
-product branding
-creative direction 
- and more!


- career advice for aspiring designers
- interior design startup advice 
- what to expect in the first 10 years as an entrepreneur 

Looking forward to helping you on your design project 😊"
